date,mean_consumption,median_consumption,std_consumption,day,holiday
2013-02-28,11.922651019622933,8.751000000000001,11.378102297925157,3,0
2013-03-01,11.999548287803002,8.7135,11.384830736944078,4,0
2013-03-02,12.258977871849144,9.114,11.52034510956619,5,0
2013-03-03,12.679468064640247,9.452,11.620177908989152,6,0
2013-03-04,11.41321046556368,8.507,10.650118436808972,0,0
2013-03-05,10.804019434289014,8.183,9.887106127069945,1,0
2013-03-06,10.629245094267025,8.2195,9.236023411611336,2,0
2013-03-07,10.86326649990379,8.443,9.485657279768946,3,0
2013-03-08,10.878317490860113,8.404,9.488293187544635,4,0
2013-03-09,11.531708485664806,8.881,10.063928572444727,5,0
2013-03-10,12.780523562223504,9.626,11.419434848667414,6,0
2013-03-11,13.054427389882669,9.366,13.198747857703134,0,0
2013-03-12,12.811234852856318,9.071,13.24566349644267,1,0
2013-03-13,12.087762985763757,8.7775,11.910504626422494,2,0
2013-03-14,11.742575028857253,8.7125,11.4295069663562,3,0
2013-03-15,11.557921138680515,8.622,10.761405105812964,4,0
2013-03-16,12.14004097729896,9.077,10.948894507745957,5,0
2013-03-17,12.548649480569448,9.4885,10.934440153388302,6,0
2013-03-18,11.779200500288628,8.893,10.822672353644526,0,0
2013-03-19,11.350910350134667,8.4785,10.520186704462647,1,0
2013-03-20,11.608561477775641,8.643,10.661204197836254,2,0
2013-03-21,11.467851481338977,8.4915,10.51066447241067,3,0
2013-03-22,12.020294536360138,8.897,11.472917505908264,4,0
2013-03-23,13.368652751058098,9.6395,12.887238611490107,5,0
2013-03-24,14.417473927265728,10.438,13.936602216321374,6,0
2013-03-25,13.044723216003078,9.241,13.09324890777269,0,0
2013-03-26,12.845770681031167,9.0465,12.93863535579556,1,0
2013-03-27,12.432262601000385,8.8415,12.161893531542303,2,0
2013-03-28,11.990643516737206,8.657499999999999,11.59879742725108,3,0
2013-03-29,12.199568212430249,9.097,11.368630343461442,4,1
2013-03-30,11.766623389113292,8.615,11.144906778700514,5,0
2013-03-31,11.912878822850548,8.657,11.328650347825258,6,0
2013-04-01,11.926173913043478,8.79,11.344776644698785,0,1
2013-04-02,11.23319696095403,8.261,10.78504328882754,1,0
2013-04-03,11.860858407079645,8.596499999999999,11.264298552040398,2,0
2013-04-04,12.157235282801077,8.8555,11.64608547388221,3,0
2013-04-05,11.673288380146209,8.4235,11.238029271256563,4,0
2013-04-06,11.060472297037322,8.301,9.93104849974626,5,0
2013-04-07,11.12731435167372,8.4195,9.708708364170265,6,0
2013-04-08,10.53244440169296,7.973,9.374776147202976,0,0
2013-04-09,10.858819738360907,8.241,9.769901094750711,1,0
2013-04-10,10.351371489034243,7.865,9.03345310657027,2,0
2013-04-11,10.515647171989228,7.964,9.268078984664676,3,0
2013-04-12,10.347856290881108,7.987500000000001,8.838894315247538,4,0
2013-04-13,10.5092010388611,8.2285,8.634256151235506,5,0
2013-04-14,10.032540400153906,8.186,7.711940365902596,6,0
2013-04-15,9.303504137002117,7.466,7.407342761464983,0,0
2013-04-16,9.218017898383373,7.4895,7.26024170554749,1,0
2013-04-17,9.16053223013277,7.395,7.28579342280698,2,0
2013-04-18,9.229366365210698,7.315,7.4453088887494525,3,0
2013-04-19,9.42374532845309,7.372,7.754495364860707,4,0
2013-04-20,9.46785598767809,7.507,7.617935348230572,5,0
2013-04-21,9.988384260150086,8.119,7.801250418609049,6,0
2013-04-22,9.402193299961494,7.526999999999999,7.486803328890486,0,0
2013-04-23,8.65553003465537,7.0915,6.6326950436195204,1,0
2013-04-24,8.640741097208855,7.079,6.562167929860905,2,0
2013-04-25,8.270535693669425,6.879,6.131463481696085,3,0
2013-04-26,8.763536566589686,7.1935,6.76527551087371,4,0
2013-04-27,9.514679368745188,7.62,7.5799352716619515,5,0
2013-04-28,9.999210161662818,8.051,7.859914813725329,6,0
2013-04-29,9.05512894534257,7.2844999999999995,7.171321681731287,0,0
2013-04-30,8.83354830638953,7.1225000000000005,7.12491761204414,1,0
2013-05-01,8.783985948026949,7.007,6.87663228384272,2,0
2013-05-02,8.551547554871005,6.9535,6.687516427420839,3,0
2013-05-03,8.39275957651588,6.848,6.597754839866033,4,0
2013-05-04,8.866975365665896,7.234,7.1323284076722615,5,0
2013-05-05,8.811714340712223,7.195,6.871030829392906,6,0
2013-05-06,8.645023291626565,7.121,6.575327697744543,0,1
2013-05-07,8.312654734411085,6.9075,6.330981293748139,1,0
2013-05-08,8.500540993071594,6.9225,6.6142811868649884,2,0
