date,air_temperature_mean,dewpoint_mean,rltv_hum_mean,air_temperature_min,rltv_hum_min,air_temperature_max,prcp_count,day,holiday,mean_consumption,median_consumption,std_consumption
2012-12-19,4.808333333333334,3.6833333333333336,92.5,0.3,77.3,7.7,10,2,0,12.361868820927102,9.41,10.991958195360482
2012-12-20,8.225,7.516666666666667,95.5,6.7,89.2,9.8,18,3,0,12.218787459126755,9.426,10.618818632779108
2012-12-21,6.5375000000000005,5.4375,92.93333333333334,4.4,77.5,9.5,0,4,0,11.99006540977299,9.159,10.61771065818284
2012-12-22,9.770833333333334,9.1625,96.125,4.4,91.8,13.1,15,5,0,12.348448634090031,9.6525,10.50480158701188
2012-12-23,11.416666666666666,9.0875,85.84583333333335,8.1,72.1,13.1,4,6,0,11.910257214313198,9.2605,10.059367680956807
2012-12-24,9.5,8.075000000000001,90.90833333333336,7.6,79.0,12.2,9,0,0,12.037741389263036,9.352,10.670726636062591
2012-12-25,7.683333333333334,5.891666666666667,88.55,5.6,79.0,9.0,10,1,1,12.477352375456816,8.883,12.024333046023887
2012-12-26,7.045833333333333,5.2625,88.74583333333334,2.3,78.0,10.2,5,2,1,11.656574451712196,8.676,11.01344564213201
2012-12-27,7.170833333333333,4.595833333333333,83.77499999999999,6.1,73.3,7.9,6,3,0,11.835738695401194,8.992,10.787317725940516
2012-12-28,9.308333333333334,7.6875,89.77083333333333,4.3,78.8,12.5,5,4,0,11.752630050019238,9.051,10.300992410512894
2012-12-29,10.191666666666666,7.295833333333333,82.58749999999999,6.8,74.9,12.1,3,5,0,11.669238699749952,9.149,9.732818549298914
2012-12-30,7.583333333333333,3.675,76.23333333333333,5.2,71.3,10.8,0,6,0,11.912884378607156,9.1755,10.319290619870497
2012-12-31,10.6,8.504166666666666,87.17916666666667,9.1,76.9,11.4,6,0,0,11.898986145853378,9.239,10.411237464589542
2013-01-01,6.3125,3.033333333333333,79.77499999999999,4.1,62.8,9.1,2,1,1,11.837146951336797,9.17,10.16138050657912
2013-01-02,5.858333333333333,4.854166666666667,93.18333333333334,1.1,83.7,11.1,0,2,0,11.975926909020965,9.21,10.412932428122277
2013-01-03,10.745833333333332,8.983333333333333,88.97916666666667,9.3,84.1,11.8,0,3,0,11.355294151596768,8.845,9.567940679463192
2013-01-04,9.783333333333331,7.0125,83.00833333333334,8.4,75.6,10.9,0,4,0,11.37870763608386,8.882,9.56916367715115
2013-01-05,8.954166666666667,7.458333333333333,90.55833333333334,5.4,81.3,10.9,0,5,0,11.658642046547412,9.067,9.788136491955838
2013-01-06,6.9375,6.491666666666667,97.19166666666666,5.1,90.2,8.5,0,6,0,12.342799076212472,9.7085,10.059699849222431
2013-01-07,8.008333333333333,6.520833333333333,90.2875,7.0,86.6,9.3,0,0,0,11.611043285879184,9.0675,9.883016745399749
2013-01-08,9.929166666666667,7.654166666666666,85.7,8.3,78.0,11.3,0,1,0,11.200344170834937,8.729,9.665264950096622
2013-01-09,6.470833333333334,4.779166666666667,89.5,-0.8,67.8,9.3,7,2,0,11.274697634160416,8.801,9.53237158240936
2013-01-10,1.554166666666667,0.4375,91.975,-1.5,85.8,3.4,0,3,0,12.04769128678592,9.204,10.72726828906852
2013-01-11,2.0708333333333333,0.4708333333333332,89.10000000000001,-1.6,70.6,6.9,0,4,0,12.071953644931718,8.989,10.934544324217022
2013-01-12,3.4958333333333336,0.3541666666666667,81.125,0.2,56.2,5.0,3,5,0,13.01192110833173,9.802,11.73307512405654
2013-01-13,2.129166666666667,-2.1333333333333333,72.55833333333334,0.4,66.5,3.9,0,6,0,13.585891325254856,10.242,12.086873226311202
2013-01-14,0.8041666666666667,-0.575,89.72083333333335,-0.7,78.5,2.9,4,0,0,13.14229948066936,9.728,12.362728156342513
2013-01-15,0.7916666666666666,-1.4166666666666667,84.64583333333333,-3.0,76.7,2.4,0,1,0,12.89385302039246,9.375,12.336118134002623
2013-01-16,-1.6291666666666669,-2.858333333333333,88.85833333333333,-4.1,80.2,0.1,0,2,0,13.10182743362832,9.5555,12.528714070017708
2013-01-17,-0.4791666666666667,-2.654166666666667,84.6,-5.5,65.1,3.7,0,3,0,13.218728934205462,9.533,12.904886091636468
2013-01-18,2.9333333333333336,2.2666666666666666,90.85833333333332,-1.7,79.5,10.1,3,4,0,13.994576457010965,9.909,13.766676642369417
2013-01-19,0.2749999999999999,-2.2583333333333333,81.6,-0.5,72.1,1.0,1,5,0,14.64030525100981,10.795,13.944671294093013
2013-01-20,-0.6124999999999999,-2.345833333333333,86.1125,-1.3,72.1,-0.2,1,6,0,14.941264473937297,11.052,14.080777069268647
2013-01-21,-0.8624999999999999,-2.183333333333333,89.10833333333333,-3.7,76.1,1.8,1,0,0,13.833570879015197,10.068,13.317383528607431
2013-01-22,-0.3333333333333333,-2.5166666666666666,84.41666666666667,-6.4,67.3,3.1,1,1,0,13.46559088286209,9.715,13.287177823504512
2013-01-23,2.125,-1.0458333333333334,79.70416666666667,1.6,74.3,3.2,0,2,0,13.273738026543567,9.722,12.66904346493867
2013-01-24,1.5833333333333333,-2.125,76.09583333333333,0.6,62.5,2.3,0,3,0,13.299831441216089,9.635,12.859237462788856
2013-01-25,0.8791666666666668,-2.058333333333333,79.79166666666667,-2.4,70.9,3.4,0,4,0,13.347194150471426,9.663,12.99697637236918
2013-01-26,5.095833333333333,2.9166666666666665,86.28750000000001,1.7,68.1,7.9,12,5,0,12.776874951904578,9.4855,11.892065708675547
2013-01-27,8.008333333333333,4.008333333333334,77.075,4.3,51.1,10.3,9,6,0,12.864480761831471,9.842,11.199553462740507
2013-01-28,6.254166666666666,3.925,85.35000000000001,1.2,73.3,10.6,4,0,0,12.317042139695978,9.302,11.22763221159576
2013-01-29,11.8125,9.979166666666666,88.72083333333335,9.5,74.2,13.8,7,1,0,11.60032755966128,8.906,10.176201317409785
2013-01-30,10.154166666666669,5.7375,75.60416666666667,7.1,52.5,12.2,9,2,0,11.052388033859176,8.5665,9.53198037682833
